url,date,homeTeam,homeScore,awayTeam,awayScore,Data Player?,Data Events?,Teams,ELO home,ELO away,H expected,A expected,Result H,G,ELO h new,ELO a new,Ca team h,Ca team a,Goal diff H,Speelronde H,Speelronde A,Punten H,Punten A,Cum P H,Cum P A,Rank H,Rank A
https://www.rbfa.be/nl/wedstrijd/6749235,31/08/2024,K. Sassp. Boezinge A,1,K.S.K. Oostnieuwkerke,1,0,0,K. Sassp. Boezinge A - K.S.K. Oostnieuwkerke,1500,1500,"0,50","0,50","0,5",1,1500,1500,"0,0000","0,0000",0,1,1,1,1,1,1,7,7
https://www.rbfa.be/nl/wedstrijd/6749236,31/08/2024,K. Exc. Zedelgem,2,K. SV Rumbeke,3,0,0,K. Exc. Zedelgem - K. SV Rumbeke,1500,1500,"0,50","0,50",0,1,1485,1515,"-0,5000","0,5000",-1,1,1,0,3,0,3,11,1
https://www.rbfa.be/nl/wedstrijd/6749237,31/08/2024,S.V. Wevelgem City A,2,K. WS Houthulst A,1,0,0,S.V. Wevelgem City A - K. WS Houthulst A,1500,1500,"0,50","0,50",1,1,1515,1485,"0,5000","-0,5000",1,1,1,3,0,3,0,1,11
https://www.rbfa.be/nl/wedstrijd/6749241,31/08/2024,FC Sp. Heestert A,3,K. SV Bredene A,3,0,0,FC Sp. Heestert A - K. SV Bredene A,1500,1500,"0,50","0,50","0,5",1,1500,1500,"0,0000","0,0000",0,1,1,1,1,1,1,7,7
https://www.rbfa.be/nl/wedstrijd/6749238,31/08/2024,K. FC Varsenare A,2,Zwevegem Sport,4,0,0,K. FC Varsenare A - Zwevegem Sport,1500,1500,"0,50","0,50",0,"1,5",1478,1523,"-0,6300","0,6300",-2,1,1,0,3,0,3,11,1
https://www.rbfa.be/nl/wedstrijd/6749242,1/09/2024,Jong Male K.V.V.,1,K.F.C. Moen,5,0,0,Jong Male K.V.V. - K.F.C. Moen,1500,1500,"0,50","0,50",0,"1,875",1472,1528,"-0,7937","0,7937",-4,1,1,0,3,0,3,11,1
https://www.rbfa.be/nl/wedstrijd/6749239,1/09/2024,K. VC Ardooie A,5,Club Roeselare,2,0,0,K. VC Ardooie A - Club Roeselare,1500,1500,"0,50","0,50",1,"1,75",1526,1474,"0,7211","-0,7211",3,1,1,3,0,3,0,1,11
https://www.rbfa.be/nl/wedstrijd/6749240,1/09/2024,K. FC Marke A,0,K.R.C. Waregem A,2,0,0,K. FC Marke A - K.R.C. Waregem A,1500,1500,"0,50","0,50",0,"1,5",1478,1523,"-0,6300","0,6300",-2,1,1,0,3,0,3,11,1
https://www.rbfa.be/nl/wedstrijd/6749244,6/09/2024,K.F.C. Moen,1,FC Sp. Heestert A,1,0,0,K.F.C. Moen - FC Sp. Heestert A,1528,1500,"0,54","0,46","0,5",1,1527,1501,"-0,0404","0,0404",0,2,2,1,1,4,2,3,12
https://www.rbfa.be/nl/wedstrijd/6749243,7/09/2024,Zwevegem Sport,1,S.V. Wevelgem City A,0,0,0,Zwevegem Sport - S.V. Wevelgem City A,1523,1515,"0,51","0,49",1,1,1537,1500,"0,4892","-0,4892",1,2,2,3,0,6,3,1,7
https://www.rbfa.be/nl/wedstrijd/6749248,7/09/2024,K. SV Bredene A,4,K. Exc. Zedelgem,1,0,0,K. SV Bredene A - K. Exc. Zedelgem,1500,1485,"0,52","0,48",1,"1,75",1525,1460,"0,6900","-0,6900",3,2,2,3,0,4,0,3,13
https://www.rbfa.be/nl/wedstrijd/6749247,7/09/2024,K. SV Rumbeke,2,K. FC Marke A,0,0,0,K. SV Rumbeke - K. FC Marke A,1515,1478,"0,55","0,45",1,"1,5",1535,1457,"0,5622","-0,5622",2,2,2,3,0,6,0,1,13
https://www.rbfa.be/nl/wedstrijd/6749246,7/09/2024,K. WS Houthulst A,2,Jong Male K.V.V.,0,0,0,K. WS Houthulst A - Jong Male K.V.V.,1485,1472,"0,52","0,48",1,"1,5",1507,1450,"0,6062","-0,6062",2,2,2,3,0,3,0,7,13
https://www.rbfa.be/nl/wedstrijd/6749249,8/09/2024,K.R.C. Waregem A,1,K. Sassp. Boezinge A,2,0,0,K.R.C. Waregem A - K. Sassp. Boezinge A,1523,1500,"0,53","0,47",0,1,1507,1516,"-0,5323","0,5323",-1,2,2,0,3,3,4,7,3
https://www.rbfa.be/nl/wedstrijd/6749245,8/09/2024,K.S.K. Oostnieuwkerke,2,K. VC Ardooie A,1,0,0,K.S.K. Oostnieuwkerke - K. VC Ardooie A,1500,1526,"0,46","0,54",1,1,1516,1510,"0,5377","-0,5377",1,2,2,3,0,4,3,3,7
https://www.rbfa.be/nl/wedstrijd/6749250,8/09/2024,Club Roeselare,2,K. FC Varsenare A,0,0,0,Club Roeselare - K. FC Varsenare A,1474,1478,"0,49","0,51",1,"1,5",1496,1455,"0,6368","-0,6368",2,2,2,3,0,3,0,7,13
https://www.rbfa.be/nl/wedstrijd/6749251,14/09/2024,Zwevegem Sport,1,K. WS Houthulst A,0,0,0,Zwevegem Sport - K. WS Houthulst A,1537,1507,"0,54","0,46",1,1,1551,1493,"0,4562","-0,4562",1,3,3,3,0,9,3,1,10
https://www.rbfa.be/nl/wedstrijd/6749252,14/09/2024,K.F.C. Moen,1,K. FC Marke A,1,0,0,K.F.C. Moen - K. FC Marke A,1527,1457,"0,60","0,40","0,5",1,1524,1460,"-0,0987","0,0987",0,3,3,1,1,5,1,5,14
https://www.rbfa.be/nl/wedstrijd/6749253,14/09/2024,K.S.K. Oostnieuwkerke,0,FC Sp. Heestert A,1,0,0,K.S.K. Oostnieuwkerke - FC Sp. Heestert A,1516,1501,"0,52","0,48",0,1,1500,1517,"-0,5215","0,5215",-1,3,3,0,3,4,5,7,5
https://www.rbfa.be/nl/wedstrijd/6749255,14/09/2024,S.V. Wevelgem City A,1,K. SV Bredene A,0,0,0,S.V. Wevelgem City A - K. SV Bredene A,1500,1525,"0,46","0,54",1,1,1516,1509,"0,5356","-0,5356",1,3,3,3,0,6,4,4,7
