Team,Speler,Selecties,Gestart,Ingevallen,Vervangen,Speelminuten,Goals,Penalties,Own Goals,Geel,Dubbelgeel,Rood,Clean sheets,Kapitein,Type,MVP p>20/90min,Goals/90min,Geel/90min,Selecties L5,Gestart L5,Ingevallen L5,Vervangen L5,Speelminuten L5,Goals L5,Penalties L5,Own goals L5,Geel L5,Dubbelgeel L5,Rood L5,Clean sheet L5,Kapitein L5,RAPM_per90,RAPM_off_per90,RAPM_def_per90,RAPM_SE_per90,RAPM_CI_low,RAPM_CI_high,RAPM_z,xPPM_per90,xPPM_SE,xPPM_CI_low,xPPM_CI_high,xPPM_z
Club Roeselare,Arne Hélin,24,24,0,1,2157,0,0,1,5,0,0,0,24,Speler,0.499,0.0,0.209,5,5,0,0,450,0,0,0,0,0,0,0,5,1.542,0.965,0.965,2.323,-3.011,6.095,0.66,1.077,1.555,-1.971,4.125,0.69
Club Roeselare,Bram Baert,9,2,6,2,183,0,0,0,0,0,0,0,0,Speler,0.552,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.322,0.322,2.423,-4.398,5.102,0.15,1.236,1.618,-1.935,4.407,0.76
Club Roeselare,Bram Helin,23,23,0,2,2044,0,0,0,6,0,0,0,1,Speler,0.541,0.0,0.264,4,4,0,0,360,0,0,0,0,0,0,0,0,0.506,0.318,0.318,2.118,-3.645,4.658,0.24,1.274,1.432,-1.532,4.08,0.89
Club Roeselare,Brent Mandeville,10,2,7,2,301,2,0,0,3,0,0,0,0,Speler,0.398,0.598,0.897,3,0,3,0,63,0,0,0,2,0,0,0,0,0.678,0.545,0.545,2.015,-3.272,4.628,0.34,0.709,1.387,-2.01,3.427,0.51
Club Roeselare,Dwight Dewerchin,11,3,8,3,258,0,0,0,0,0,0,0,0,Speler,0.41,0.0,0.0,4,1,3,1,90,0,0,0,0,0,0,0,0,-0.319,-0.173,-0.173,2.006,-4.25,3.612,-0.16,0.736,1.389,-1.987,3.458,0.53
Club Roeselare,Dylan Vens,18,8,9,6,777,0,0,0,3,0,0,0,0,Speler,0.456,0.0,0.347,2,1,1,1,109,0,0,0,0,0,0,0,0,0.337,0.272,0.272,1.528,-2.658,3.332,0.22,-0.922,1.086,-3.05,1.206,-0.85
Club Roeselare,Elias Staelens,4,0,2,0,15,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,2,0,1,0,12,0,0,0,0,0,0,0,0,-0.145,-0.149,-0.149,3.005,-6.035,5.744,-0.05,-0.262,1.921,-4.027,3.504,-0.14
Club Roeselare,Gianni Vandecasteele,24,23,1,11,1889,2,2,0,2,1,0,0,0,Speler,0.58,0.095,0.095,5,5,0,3,401,0,0,0,0,0,0,0,0,1.558,1.116,1.116,1.782,-1.935,5.052,0.87,1.725,1.242,-0.709,4.158,1.39
Club Roeselare,Jasper Cafmeyer,21,21,0,7,1733,6,0,0,1,0,0,0,0,Speler,0.53,0.312,0.052,5,5,0,0,450,1,0,0,0,0,0,0,0,-0.672,-0.438,-0.438,1.794,-4.188,2.844,-0.37,-0.448,1.25,-2.897,2.001,-0.36
Club Roeselare,Jente Dekimpe,4,0,2,0,22,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,3,0,1,0,7,0,0,0,0,0,0,0,0,1.853,1.489,1.489,2.938,-3.905,7.612,0.63,0.616,1.888,-3.084,4.316,0.33
Club Roeselare,Jobbe Dekimpe,24,21,3,6,1903,3,0,0,3,0,0,0,0,Speler,0.481,0.142,0.142,5,4,1,1,380,0,0,0,0,0,0,0,0,-0.681,-0.221,-0.221,1.827,-4.261,2.9,-0.37,-0.058,1.275,-2.557,2.442,-0.05
Club Roeselare,Jordin Nico Decorte,24,24,0,1,2107,0,0,0,2,1,0,6,0,Keeper,0.487,0.0,0.085,5,5,0,1,442,0,0,0,0,0,0,3,0,-1.15,-0.797,-0.797,2.565,-6.178,3.878,-0.45,-0.318,1.663,-3.578,2.942,-0.19
Club Roeselare,Kobe Vergote,14,0,2,0,53,0,0,0,0,0,0,1,0,Keeper,0.0,0.0,0.0,5,0,1,0,8,0,0,0,0,0,0,1,0,1.322,0.68,0.68,2.749,-4.066,6.709,0.48,0.254,1.785,-3.245,3.753,0.14
Club Roeselare,Lauden Hugelier,25,25,0,0,2250,6,0,0,1,0,0,0,0,Speler,0.48,0.24,0.04,5,5,0,0,450,1,0,0,0,0,0,0,0,0.154,0.13,0.13,2.971,-5.67,5.978,0.05,-0.044,1.865,-3.698,3.611,-0.02
Club Roeselare,Mats Parmentier,1,0,0,0,0,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Club Roeselare,Matthias Verbrugghe,1,0,0,0,0,0,0,0,0,0,0,0,0,Keeper,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
