Team,Matches,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff,Points,Avg GF,Avg GA,Current ELO,Last5 Points,ELO +/- L5,ELO opp H,ELO opp A,ELO opp total,ELO opp diff HA,ELO opp diff tot,Yellow cards F,Yellow cards A
Zwevegem Sport,29,17,6,6,60,35,25,57,2.07,1.21,1611.91,8,-2.67,,1517.58,1517.58,,17.58,40,58
K.S.C. Wielsbeke,29,16,6,7,79,48,31,54,2.72,1.66,1622.24,9,17.32,1480.35,,1480.35,,-19.65,49,45
K. Eendr. Wervik A,29,16,5,8,69,44,25,53,2.38,1.52,1544.17,8,-1.0,1565.26,,1565.26,,65.26,40,47
K. FC Varsenare A,29,17,2,10,73,56,17,53,2.52,1.93,1602.08,12,50.49,,1566.2,1566.2,,66.2,29,35
K. VC Ardooie A,29,16,3,10,62,50,12,51,2.14,1.72,1566.2,7,-5.73,1602.08,,1602.08,,102.08,59,54
K.R.C. Waregem A,29,15,5,9,58,34,24,50,2.0,1.17,1565.26,9,-11.92,,1544.17,1544.17,,44.17,31,56
K. FC Marke A,29,13,9,7,60,47,13,48,2.07,1.62,1557.69,9,45.16,1469.47,,1469.47,,-30.53,32,41
K. RC Bissegem,29,14,4,11,56,49,7,46,1.93,1.69,1517.58,6,-52.04,1611.91,,1611.91,,111.91,53,40
KFC Aalbeke Sport A,29,12,7,10,62,50,12,43,2.14,1.72,1561.0,10,31.23,,1393.65,1393.65,,-106.35,60,60
FC Sp. Heestert A,29,13,2,14,57,62,-5,41,1.97,2.14,1469.47,4,-53.06,,1557.69,1557.69,,57.69,49,54
S.V. Wevelgem City A,29,12,3,14,60,38,22,39,2.07,1.31,1562.0,9,36.12,1364.58,,1364.58,,-135.42,46,80
Club Roeselare,29,11,6,12,56,53,3,39,1.93,1.83,1480.35,8,19.67,,1622.24,1622.24,,122.24,61,36
K. FC Heist A,29,10,5,14,57,63,-6,35,1.97,2.17,1448.09,3,-42.41,,1133.73,1133.73,,-366.27,40,38
K. WS Oudenburg,29,8,3,18,40,62,-22,27,1.38,2.14,1364.58,3,-47.94,,1562.0,1562.0,,62.0,55,36
K. SV Moorsele A,29,5,8,16,38,58,-20,23,1.31,2.0,1393.65,4,19.04,1561.0,,1561.0,,61.0,39,31
K. SV Bredene A,29,0,0,29,16,154,-138,0,0.55,5.31,1133.73,0,-32.84,1448.09,,1448.09,,-51.91,52,24
