date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
30/08/2025,FC Sp. Heestert A,K. RC Bissegem,2,1,1500.0,1500.0,0.5,0.5,1.0,0.0,1.0,1515.0,1485.0
30/08/2025,Zwevegem Sport,KFC Aalbeke Sport A,1,0,1500.0,1500.0,0.5,0.5,1.0,0.0,1.0,1515.0,1485.0
30/08/2025,K. FC Varsenare A,K. SV Moorsele A,2,1,1500.0,1500.0,0.5,0.5,1.0,0.0,1.0,1515.0,1485.0
31/08/2025,K. FC Heist A,K. Eendr. Wervik A,3,4,1500.0,1500.0,0.5,0.5,0.0,1.0,1.0,1485.0,1515.0
31/08/2025,K. FC Marke A,K.S.C. Wielsbeke,4,3,1500.0,1500.0,0.5,0.5,1.0,0.0,1.0,1515.0,1485.0
31/08/2025,K. WS Oudenburg,K. SV Bredene A,4,1,1500.0,1500.0,0.5,0.5,1.0,0.0,1.75,1526.25,1473.75
31/08/2025,Club Roeselare,S.V. Wevelgem City A,4,0,1500.0,1500.0,0.5,0.5,1.0,0.0,1.875,1528.12,1471.88
31/08/2025,K. VC Ardooie A,K.R.C. Waregem A,1,2,1500.0,1500.0,0.5,0.5,0.0,1.0,1.0,1485.0,1515.0
06/09/2025,K.R.C. Waregem A,K. WS Oudenburg,3,1,1515.0,1526.25,0.4838,0.5162,1.0,0.0,1.625,1540.16,1501.09
06/09/2025,K. RC Bissegem,Club Roeselare,2,2,1485.0,1528.12,0.4383,0.5617,0.5,0.5,1.0,1486.85,1526.27
06/09/2025,S.V. Wevelgem City A,Zwevegem Sport,3,0,1471.88,1515.0,0.4383,0.5617,1.0,0.0,1.75,1501.37,1485.51
06/09/2025,KFC Aalbeke Sport A,K. VC Ardooie A,3,1,1485.0,1485.0,0.5,0.5,1.0,0.0,1.625,1509.38,1460.62
06/09/2025,K. Eendr. Wervik A,K. FC Varsenare A,5,3,1515.0,1515.0,0.5,0.5,1.0,0.0,1.625,1539.38,1490.62
07/09/2025,K.S.C. Wielsbeke,K. FC Heist A,3,1,1485.0,1485.0,0.5,0.5,1.0,0.0,1.625,1509.38,1460.62
07/09/2025,K. SV Moorsele A,FC Sp. Heestert A,0,2,1485.0,1515.0,0.4569,0.5431,0.0,1.0,1.625,1462.72,1537.28
07/09/2025,K. SV Bredene A,K. FC Marke A,1,5,1473.75,1515.0,0.4409,0.5591,0.0,1.0,1.875,1448.95,1539.8
13/09/2025,K. Eendr. Wervik A,KFC Aalbeke Sport A,2,1,1539.38,1509.38,0.5431,0.4569,1.0,0.0,1.0,1553.08,1495.67
13/09/2025,K. FC Varsenare A,K.R.C. Waregem A,2,3,1490.62,1540.16,0.4292,0.5708,0.0,1.0,1.0,1477.75,1553.04
14/09/2025,Club Roeselare,FC Sp. Heestert A,3,1,1526.27,1537.28,0.4842,0.5158,1.0,0.0,1.625,1551.42,1512.13
14/09/2025,K. SV Bredene A,S.V. Wevelgem City A,0,11,1448.95,1501.37,0.4251,0.5749,0.0,1.0,2.75,1413.88,1536.44
14/09/2025,K. VC Ardooie A,K. SV Moorsele A,3,0,1460.62,1462.72,0.497,0.503,1.0,0.0,1.75,1487.03,1436.32
14/09/2025,K. FC Heist A,K. RC Bissegem,1,4,1460.62,1486.85,0.4623,0.5377,0.0,1.0,1.75,1436.35,1511.12
14/09/2025,K. WS Oudenburg,K.S.C. Wielsbeke,1,3,1501.09,1509.38,0.4881,0.5119,0.0,1.0,1.625,1477.29,1533.17
14/09/2025,K. FC Marke A,Zwevegem Sport,1,4,1539.8,1485.51,0.5775,0.4225,0.0,1.0,1.75,1509.48,1515.83
20/09/2025,S.V. Wevelgem City A,K. VC Ardooie A,4,0,1536.44,1487.03,0.5706,0.4294,1.0,0.0,1.875,1560.59,1462.88
20/09/2025,KFC Aalbeke Sport A,Club Roeselare,2,2,1495.67,1551.42,0.4204,0.5796,0.5,0.5,1.0,1498.05,1549.03
20/09/2025,K. RC Bissegem,K. SV Bredene A,5,1,1511.12,1413.88,0.6364,0.3636,1.0,0.0,1.875,1531.58,1393.42
20/09/2025,Zwevegem Sport,K. FC Heist A,1,1,1515.83,1436.35,0.6124,0.3876,0.5,0.5,1.0,1512.45,1439.73
20/09/2025,FC Sp. Heestert A,K. WS Oudenburg,0,3,1512.13,1477.29,0.55,0.45,0.0,1.0,1.75,1483.26,1506.17
21/09/2025,K.S.C. Wielsbeke,K. FC Varsenare A,5,1,1533.17,1477.75,0.5791,0.4209,1.0,0.0,1.875,1556.85,1454.07
21/09/2025,K. SV Moorsele A,K. FC Marke A,2,2,1436.32,1509.48,0.3962,0.6038,0.5,0.5,1.0,1439.43,1506.37
21/09/2025,K.R.C. Waregem A,K. Eendr. Wervik A,0,0,1553.04,1553.08,0.4999,0.5001,0.5,0.5,1.0,1553.04,1553.08
27/09/2025,KFC Aalbeke Sport A,FC Sp. Heestert A,0,3,1498.05,1483.26,0.5213,0.4787,0.0,1.0,1.75,1470.69,1510.62
27/09/2025,K. Eendr. Wervik A,S.V. Wevelgem City A,2,0,1553.08,1560.59,0.4892,0.5108,1.0,0.0,1.625,1577.98,1535.69
27/09/2025,K. RC Bissegem,K.R.C. Waregem A,2,1,1531.58,1553.04,0.4691,0.5309,1.0,0.0,1.0,1547.5,1537.12
27/09/2025,K. FC Varsenare A,K. VC Ardooie A,2,3,1454.07,1462.88,0.4873,0.5127,0.0,1.0,1.0,1439.45,1477.5
28/09/2025,K. FC Marke A,K. FC Heist A,5,3,1506.37,1439.73,0.5947,0.4053,1.0,0.0,1.625,1526.13,1419.97
28/09/2025,K. WS Oudenburg,Zwevegem Sport,2,3,1506.17,1512.45,0.491,0.509,0.0,1.0,1.0,1491.44,1527.18
28/09/2025,Club Roeselare,K.S.C. Wielsbeke,2,4,1549.03,1556.85,0.4888,0.5112,0.0,1.0,1.625,1525.21,1580.67
28/09/2025,K. SV Bredene A,K. SV Moorsele A,1,3,1393.42,1439.43,0.4342,0.5658,0.0,1.0,1.625,1372.26,1460.59
04/10/2025,K. VC Ardooie A,K. WS Oudenburg,4,0,1477.5,1491.44,0.48,0.52,1.0,0.0,1.875,1506.75,1462.18
04/10/2025,K. FC Varsenare A,Club Roeselare,3,2,1439.45,1525.21,0.379,0.621,1.0,0.0,1.0,1458.08,1506.58
04/10/2025,Zwevegem Sport,K. RC Bissegem,4,0,1527.18,1547.5,0.4708,0.5292,1.0,0.0,1.875,1556.95,1517.73
04/10/2025,S.V. Wevelgem City A,KFC Aalbeke Sport A,2,3,1535.69,1470.69,0.5925,0.4075,0.0,1.0,1.0,1517.92,1488.46
05/10/2025,FC Sp. Heestert A,K.R.C. Waregem A,2,1,1510.62,1537.12,0.4619,0.5381,1.0,0.0,1.0,1526.76,1520.97
05/10/2025,K.S.C. Wielsbeke,K. SV Moorsele A,2,1,1580.67,1460.59,0.6662,0.3338,1.0,0.0,1.0,1590.68,1450.58
05/10/2025,K. FC Heist A,K. SV Bredene A,3,1,1419.97,1372.26,0.5682,0.4318,1.0,0.0,1.625,1441.02,1351.21
05/10/2025,K. FC Marke A,K. Eendr. Wervik A,2,3,1526.13,1577.98,0.4259,0.5741,0.0,1.0,1.0,1513.35,1590.76
11/10/2025,K.S.C. Wielsbeke,K. Eendr. Wervik A,0,1,1590.68,1590.76,0.4999,0.5001,0.0,1.0,1.0,1575.69,1605.76
11/10/2025,FC Sp. Heestert A,K. FC Varsenare A,2,3,1526.76,1458.08,0.5976,0.4024,0.0,1.0,1.0,1508.84,1476.01
11/10/2025,S.V. Wevelgem City A,K. RC Bissegem,0,1,1517.92,1517.73,0.5003,0.4997,0.0,1.0,1.0,1502.91,1532.74
12/10/2025,K. SV Moorsele A,Club Roeselare,1,2,1450.58,1506.58,0.4201,0.5799,0.0,1.0,1.0,1437.98,1519.18
12/10/2025,K. VC Ardooie A,K. FC Marke A,2,1,1506.75,1513.35,0.4905,0.5095,1.0,0.0,1.0,1522.04,1498.06
12/10/2025,K. FC Heist A,K. WS Oudenburg,4,1,1441.02,1462.18,0.4696,0.5304,1.0,0.0,1.75,1468.87,1434.34
12/10/2025,K. SV Bredene A,Zwevegem Sport,0,8,1351.21,1556.95,0.2343,0.7657,0.0,1.0,2.375,1334.52,1573.64
12/10/2025,K.R.C. Waregem A,KFC Aalbeke Sport A,3,2,1520.97,1488.46,0.5467,0.4533,1.0,0.0,1.0,1534.57,1474.86
18/10/2025,K. FC Varsenare A,K. FC Heist A,2,1,1476.01,1468.87,0.5103,0.4897,1.0,0.0,1.0,1490.7,1454.17
18/10/2025,K. RC Bissegem,K.S.C. Wielsbeke,3,1,1532.74,1575.69,0.4385,0.5615,1.0,0.0,1.625,1560.11,1548.32
18/10/2025,K.R.C. Waregem A,S.V. Wevelgem City A,0,0,1534.57,1502.91,0.5454,0.4546,0.5,0.5,1.0,1533.21,1504.27
18/10/2025,K. Eendr. Wervik A,K. SV Bredene A,14,1,1605.76,1334.52,0.8266,0.1734,1.0,0.0,3.0,1621.37,1318.91
18/10/2025,Zwevegem Sport,FC Sp. Heestert A,0,4,1573.64,1508.84,0.5922,0.4078,0.0,1.0,1.875,1540.33,1542.15
19/10/2025,K. WS Oudenburg,K. FC Marke A,0,0,1434.34,1498.06,0.4093,0.5907,0.5,0.5,1.0,1437.06,1495.34
19/10/2025,Club Roeselare,K. VC Ardooie A,2,0,1519.18,1522.04,0.4959,0.5041,1.0,0.0,1.625,1543.76,1497.46
19/10/2025,KFC Aalbeke Sport A,K. SV Moorsele A,1,1,1474.86,1437.98,0.5529,0.4471,0.5,0.5,1.0,1473.27,1439.57
25/10/2025,Zwevegem Sport,Club Roeselare,1,0,1540.33,1543.76,0.4951,0.5049,1.0,0.0,1.0,1555.48,1528.61
